draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball,star_1,star_2
830,2015-09-01 00:00:00,Tuesday,12,13,25,26,39,4,12,4,12
831,2015-09-04 00:00:00,Friday,6,9,17,47,49,7,9,7,9
832,2015-09-08 00:00:00,Tuesday,6,35,40,44,45,4,8,4,8
833,2015-09-11 00:00:00,Friday,14,27,38,40,47,6,7,6,7
834,2015-09-15 00:00:00,Tuesday,10,14,30,43,44,3,10,3,10
835,2015-09-18 00:00:00,Friday,6,22,34,44,46,2,8,2,8
836,2015-09-22 00:00:00,Tuesday,3,18,21,26,36,1,7,1,7
837,2015-09-25 00:00:00,Friday,6,14,24,30,35,4,9,4,9
838,2015-09-29 00:00:00,Tuesday,4,9,23,30,39,3,4,3,4
839,2015-10-02 00:00:00,Friday,12,29,33,39,48,3,11,3,11
840,2015-10-06 00:00:00,Tuesday,2,3,8,11,31,7,11,7,11
841,2015-10-09 00:00:00,Friday,6,10,20,28,41,1,10,1,10
842,2015-10-13 00:00:00,Tuesday,9,22,25,26,34,1,4,1,4
843,2015-10-16 00:00:00,Friday,14,17,29,35,41,3,7,3,7
844,2015-10-20 00:00:00,Tuesday,4,9,23,31,45,10,12,10,12
845,2015-10-23 00:00:00,Friday,10,27,39,48,50,2,12,2,12
846,2015-10-27 00:00:00,Tuesday,8,10,12,19,27,3,4,3,4
847,2015-10-30 00:00:00,Friday,15,21,32,36,50,2,5,2,5
848,2015-11-03 00:00:00,Tuesday,5,12,24,33,44,1,5,1,5
849,2015-11-06 00:00:00,Friday,4,14,22,25,38,6,7,6,7
850,2015-11-10 00:00:00,Tuesday,24,25,26,27,35,2,3,2,3
851,2015-11-13 00:00:00,Friday,3,24,26,47,50,4,8,4,8
852,2015-11-17 00:00:00,Tuesday,7,15,20,42,47,6,12,6,12
853,2015-11-20 00:00:00,Friday,14,16,44,46,49,5,7,5,7
854,2015-11-24 00:00:00,Tuesday,6,17,27,29,49,2,9,2,9
855,2015-11-27 00:00:00,Friday,19,21,31,35,44,3,5,3,5
856,2015-12-01 00:00:00,Tuesday,19,27,28,40,43,3,5,3,5
857,2015-12-04 00:00:00,Friday,25,39,40,43,44,8,12,8,12
858,2015-12-08 00:00:00,Tuesday,1,13,22,23,25,6,11,6,11
859,2015-12-11 00:00:00,Friday,11,13,19,43,45,5,11,5,11
860,2015-12-15 00:00:00,Tuesday,27,43,46,48,49,4,7,4,7
861,2015-12-18 00:00:00,Friday,1,8,23,26,43,9,12,9,12
862,2015-12-22 00:00:00,Tuesday,1,13,20,34,44,3,12,3,12
863,2015-12-25 00:00:00,Friday,14,17,29,33,48,7,12,7,12
864,2015-12-29 00:00:00,Tuesday,30,34,36,40,41,10,11,10,11
865,2016-01-01 00:00:00,Friday,2,13,19,48,50,2,5,2,5
866,2016-01-05 00:00:00,Tuesday,3,4,5,27,38,5,6,5,6
867,2016-01-08 00:00:00,Friday,36,37,38,41,46,4,5,4,5
868,2016-01-12 00:00:00,Tuesday,7,12,17,26,49,6,8,6,8
869,2016-01-15 00:00:00,Friday,9,25,27,29,45,3,9,3,9
870,2016-01-19 00:00:00,Tuesday,14,17,18,24,30,7,10,7,10
871,2016-01-22 00:00:00,Friday,12,31,37,41,43,2,3,2,3
872,2016-01-26 00:00:00,Tuesday,1,16,30,34,35,2,6,2,6
873,2016-01-29 00:00:00,Friday,5,22,32,42,47,1,10,1,10
874,2016-02-02 00:00:00,Tuesday,1,18,35,41,44,6,10,6,10
875,2016-02-05 00:00:00,Friday,9,11,17,27,38,1,7,1,7
876,2016-02-09 00:00:00,Tuesday,3,4,15,22,33,5,9,5,9
877,2016-02-12 00:00:00,Friday,4,11,29,45,50,4,7,4,7
878,2016-02-16 00:00:00,Tuesday,8,11,13,18,32,5,11,5,11
879,2016-02-19 00:00:00,Friday,5,13,24,36,50,3,9,3,9
880,2016-02-23 00:00:00,Tuesday,6,23,35,42,45,11,12,11,12
881,2016-02-26 00:00:00,Friday,8,9,10,35,47,1,2,1,2
882,2016-03-01 00:00:00,Tuesday,11,25,33,42,49,4,6,4,6
883,2016-03-04 00:00:00,Friday,11,22,39,40,49,1,6,1,6
884,2016-03-08 00:00:00,Tuesday,12,13,20,28,41,2,12,2,12
885,2016-03-11 00:00:00,Friday,10,32,34,42,47,1,4,1,4
886,2016-03-15 00:00:00,Tuesday,7,16,25,37,44,8,10,8,10
887,2016-03-18 00:00:00,Friday,6,11,24,29,50,5,6,5,6
888,2016-03-22 00:00:00,Tuesday,2,3,20,26,38,3,12,3,12
889,2016-03-25 00:00:00,Friday,1,8,19,32,36,2,7,2,7
890,2016-03-29 00:00:00,Tuesday,3,11,23,39,44,6,12,6,12
891,2016-04-01 00:00:00,Friday,3,18,21,25,43,4,10,4,10
892,2016-04-05 00:00:00,Tuesday,2,10,36,44,45,5,7,5,7
893,2016-04-08 00:00:00,Friday,15,27,33,46,50,3,9,3,9
894,2016-04-12 00:00:00,Tuesday,4,14,16,27,42,3,5,3,5
895,2016-04-15 00:00:00,Friday,1,2,7,28,37,3,4,3,4
896,2016-04-19 00:00:00,Tuesday,4,12,17,20,41,3,10,3,10
897,2016-04-22 00:00:00,Friday,1,10,28,42,49,1,9,1,9
898,2016-04-26 00:00:00,Tuesday,5,11,26,29,38,4,6,4,6
899,2016-04-29 00:00:00,Friday,6,9,28,31,40,6,9,6,9
900,2016-05-03 00:00:00,Tuesday,11,15,32,37,47,2,4,2,4
901,2016-05-06 00:00:00,Friday,9,12,13,28,40,4,8,4,8
902,2016-05-10 00:00:00,Tuesday,11,12,17,42,44,9,11,9,11
903,2016-05-13 00:00:00,Friday,5,16,33,34,35,4,11,4,11
904,2016-05-17 00:00:00,Tuesday,26,27,34,36,46,2,4,2,4
905,2016-05-20 00:00:00,Friday,17,21,22,37,50,4,8,4,8
906,2016-05-24 00:00:00,Tuesday,2,3,7,28,41,1,6,1,6
907,2016-05-27 00:00:00,Friday,4,12,13,19,43,5,11,5,11
908,2016-05-31 00:00:00,Tuesday,1,17,19,34,37,4,6,4,6
909,2016-06-03 00:00:00,Friday,8,10,11,23,25,5,12,5,12
910,2016-06-07 00:00:00,Tuesday,4,13,17,29,34,1,6,1,6
911,2016-06-10 00:00:00,Friday,6,10,15,25,39,1,6,1,6
912,2016-06-14 00:00:00,Tuesday,10,16,21,25,35,1,2,1,2
913,2016-06-17 00:00:00,Friday,2,12,14,15,22,5,10,5,10
914,2016-06-21 00:00:00,Tuesday,1,5,28,42,49,2,11,2,11
915,2016-06-24 00:00:00,Friday,6,24,28,45,47,7,8,7,8
916,2016-06-28 00:00:00,Tuesday,17,25,36,42,50,6,12,6,12
917,2016-07-01 00:00:00,Friday,5,8,16,18,34,1,4,1,4
918,2016-07-05 00:00:00,Tuesday,7,18,20,21,40,10,12,10,12
919,2016-07-08 00:00:00,Friday,14,16,29,34,43,1,10,1,10
920,2016-07-12 00:00:00,Tuesday,5,17,25,48,50,1,2,1,2
921,2016-07-15 00:00:00,Friday,19,29,32,46,49,6,7,6,7
922,2016-07-19 00:00:00,Tuesday,16,33,35,39,45,2,5,2,5
923,2016-07-22 00:00:00,Friday,5,14,26,38,50,5,8,5,8
924,2016-07-26 00:00:00,Tuesday,6,22,32,39,48,1,12,1,12
925,2016-07-29 00:00:00,Friday,4,6,9,37,41,4,7,4,7
926,2016-08-02 00:00:00,Tuesday,2,8,28,38,43,4,6,4,6
927,2016-08-05 00:00:00,Friday,1,7,14,41,43,5,7,5,7
928,2016-08-09 00:00:00,Tuesday,9,12,19,45,50,3,7,3,7
929,2016-08-12 00:00:00,Friday,7,12,20,27,49,7,11,7,11
930,2016-08-16 00:00:00,Tuesday,5,7,18,20,34,3,5,3,5
931,2016-08-19 00:00:00,Friday,3,8,18,47,49,10,12,10,12
932,2016-08-23 00:00:00,Tuesday,5,9,17,26,31,5,10,5,10
933,2016-08-26 00:00:00,Friday,14,20,31,33,50,5,8,5,8
934,2016-08-30 00:00:00,Tuesday,12,17,30,33,41,3,5,3,5
935,2016-09-02 00:00:00,Friday,9,13,15,22,33,6,10,6,10
936,2016-09-06 00:00:00,Tuesday,5,15,34,36,39,3,7,3,7
937,2016-09-09 00:00:00,Friday,1,22,26,37,47,2,10,2,10
938,2016-09-13 00:00:00,Tuesday,1,6,7,28,30,1,2,1,2
939,2016-09-16 00:00:00,Friday,6,13,16,20,50,2,4,2,4
940,2016-09-20 00:00:00,Tuesday,10,17,20,46,47,3,9,3,9
941,2016-09-23 00:00:00,Friday,6,13,40,42,44,2,6,2,6
942,2016-09-27 00:00:00,Tuesday,2,14,20,22,26,1,9,1,9
943,2016-09-30 00:00:00,Friday,17,29,31,35,42,6,10,6,10
944,2016-10-04 00:00:00,Tuesday,3,9,14,23,45,6,9,6,9
945,2016-10-07 00:00:00,Friday,14,15,34,41,44,7,10,7,10
946,2016-10-11 00:00:00,Tuesday,11,23,31,39,46,3,9,3,9
947,2016-10-14 00:00:00,Friday,2,20,34,35,47,1,10,1,10
948,2016-10-18 00:00:00,Tuesday,9,10,23,28,38,1,2,1,2
949,2016-10-21 00:00:00,Friday,19,21,35,36,44,3,6,3,6
950,2016-10-25 00:00:00,Tuesday,7,22,36,45,50,9,12,9,12
951,2016-10-28 00:00:00,Friday,3,19,22,28,43,4,11,4,11
952,2016-11-01 00:00:00,Tuesday,3,6,11,12,41,7,8,7,8
953,2016-11-04 00:00:00,Friday,24,25,28,35,38,7,11,7,11
954,2016-11-08 00:00:00,Tuesday,7,14,17,23,50,2,3,2,3
955,2016-11-11 00:00:00,Friday,1,7,17,24,44,6,7,6,7
956,2016-11-15 00:00:00,Tuesday,8,16,38,39,43,5,12,5,12
957,2016-11-18 00:00:00,Friday,9,19,27,43,45,1,11,1,11
958,2016-11-22 00:00:00,Tuesday,10,17,33,35,36,4,7,4,7
959,2016-11-25 00:00:00,Friday,9,17,20,34,36,7,12,7,12
960,2016-11-29 00:00:00,Tuesday,2,6,15,23,32,8,11,8,11
961,2016-12-02 00:00:00,Friday,5,16,20,32,50,1,9,1,9
962,2016-12-06 00:00:00,Tuesday,5,9,23,30,36,3,11,3,11
963,2016-12-09 00:00:00,Friday,3,23,35,48,50,1,2,1,2
964,2016-12-13 00:00:00,Tuesday,1,14,29,47,48,4,11,4,11
965,2016-12-16 00:00:00,Friday,30,32,34,41,49,1,12,1,12
966,2016-12-20 00:00:00,Tuesday,3,14,15,39,47,3,11,3,11
967,2016-12-23 00:00:00,Friday,9,12,28,30,36,5,10,5,10
968,2016-12-27 00:00:00,Tuesday,2,3,20,47,50,1,11,1,11
969,2016-12-30 00:00:00,Friday,3,16,26,37,44,6,8,6,8
970,2017-01-03 00:00:00,Tuesday,9,19,23,37,49,3,12,3,12
971,2017-01-06 00:00:00,Friday,3,22,24,37,45,4,9,4,9
972,2017-01-10 00:00:00,Tuesday,12,17,27,43,44,5,9,5,9
973,2017-01-13 00:00:00,Friday,6,25,27,31,46,5,12,5,12
974,2017-01-17 00:00:00,Tuesday,1,20,31,36,39,1,3,1,3
975,2017-01-20 00:00:00,Friday,12,15,17,44,45,1,12,1,12
976,2017-01-24 00:00:00,Tuesday,11,15,17,20,34,6,7,6,7
977,2017-01-27 00:00:00,Friday,11,17,23,24,26,1,3,1,3
978,2017-01-31 00:00:00,Tuesday,10,18,30,36,48,8,11,8,11
979,2017-02-03 00:00:00,Friday,12,21,37,41,47,3,10,3,10
980,2017-02-07 00:00:00,Tuesday,4,26,33,36,43,3,10,3,10
981,2017-02-10 00:00:00,Friday,8,14,30,33,45,6,7,6,7
982,2017-02-14 00:00:00,Tuesday,21,22,28,35,50,2,4,2,4
983,2017-02-17 00:00:00,Friday,6,15,16,41,49,3,7,3,7
984,2017-02-21 00:00:00,Tuesday,15,16,22,27,46,2,3,2,3
985,2017-02-24 00:00:00,Friday,4,6,31,41,47,4,7,4,7
986,2017-02-28 00:00:00,Tuesday,17,22,29,33,47,1,3,1,3
987,2017-03-03 00:00:00,Friday,28,36,39,41,42,7,11,7,11
988,2017-03-07 00:00:00,Tuesday,11,18,21,40,48,3,8,3,8
989,2017-03-10 00:00:00,Friday,9,24,31,37,45,8,12,8,12
990,2017-03-14 00:00:00,Tuesday,12,30,32,34,44,10,12,10,12
991,2017-03-17 00:00:00,Friday,20,29,30,35,40,2,8,2,8
992,2017-03-21 00:00:00,Tuesday,3,8,13,30,44,6,8,6,8
993,2017-03-24 00:00:00,Friday,1,4,21,25,28,4,12,4,12
994,2017-03-28 00:00:00,Tuesday,8,9,28,35,36,1,2,1,2
995,2017-03-31 00:00:00,Friday,9,13,15,38,48,1,5,1,5
996,2017-04-04 00:00:00,Tuesday,3,4,23,46,50,1,4,1,4
997,2017-04-07 00:00:00,Friday,13,14,15,34,39,1,3,1,3
998,2017-04-11 00:00:00,Tuesday,17,23,24,30,31,6,12,6,12
999,2017-04-14 00:00:00,Friday,2,16,19,29,42,2,3,2,3
1000,2017-04-18 00:00:00,Tuesday,3,14,19,26,38,6,12,6,12
1001,2017-04-21 00:00:00,Friday,12,22,31,44,46,5,11,5,11
1002,2017-04-25 00:00:00,Tuesday,1,2,31,32,42,5,9,5,9
1003,2017-04-28 00:00:00,Friday,2,6,7,22,39,6,7,6,7
1004,2017-05-02 00:00:00,Tuesday,1,12,24,45,46,6,12,6,12
1005,2017-05-05 00:00:00,Friday,18,21,22,38,44,5,12,5,12
1006,2017-05-09 00:00:00,Tuesday,11,15,25,39,43,5,9,5,9
1007,2017-05-12 00:00:00,Friday,5,6,31,43,44,2,4,2,4
1008,2017-05-16 00:00:00,Tuesday,15,16,21,23,25,1,3,1,3
1009,2017-05-19 00:00:00,Friday,11,17,26,36,42,1,6,1,6
1010,2017-05-23 00:00:00,Tuesday,13,18,21,25,32,3,12,3,12
1011,2017-05-26 00:00:00,Friday,2,11,38,43,46,1,11,1,11
1012,2017-05-30 00:00:00,Tuesday,3,10,20,23,31,1,3,1,3
1013,2017-06-02 00:00:00,Friday,9,19,23,38,42,4,5,4,5
