draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball
2700,2015-09-05,Saturday,1,12,13,22,26,41,34
2701,2015-09-09,Wednesday,1,9,22,30,44,45,15
2702,2015-09-12,Saturday,8,9,12,29,39,45,27
2703,2015-09-16,Wednesday,9,11,20,21,28,43,8
2704,2015-09-19,Saturday,4,10,16,22,29,30,13
2705,2015-09-23,Wednesday,1,12,15,16,34,42,30
2706,2015-09-26,Saturday,2,25,32,33,34,44,31
2707,2015-09-30,Wednesday,1,5,10,25,32,33,9
2708,2015-10-03,Saturday,2,9,20,28,42,47,7
2709,2015-10-07,Wednesday,6,19,22,25,34,36,14
2710,2015-10-10,Saturday,2,23,24,28,30,33,37
2711,2015-10-14,Wednesday,11,21,25,39,40,46,23
2712,2015-10-17,Saturday,20,22,28,34,37,44,27
2713,2015-10-21,Wednesday,3,15,20,28,31,41,27
2714,2015-10-24,Saturday,3,4,16,21,23,33,29
2715,2015-10-28,Wednesday,4,6,19,36,45,46,20
2716,2015-10-31,Saturday,3,10,13,15,23,36,2
2717,2015-11-04,Wednesday,3,9,25,28,31,41,33
2718,2015-11-07,Saturday,9,20,31,40,44,45,42
2719,2015-11-11,Wednesday,6,19,34,37,45,47,29
2720,2015-11-14,Saturday,1,3,11,13,18,21,47
2721,2015-11-18,Wednesday,12,25,31,34,39,45,26
2722,2015-11-21,Saturday,16,25,37,42,45,46,3
2723,2015-11-25,Wednesday,20,21,24,26,43,46,29
2724,2015-11-28,Saturday,22,26,35,41,45,47,39
2725,2015-12-02,Wednesday,11,12,13,20,24,26,45
2726,2015-12-05,Saturday,21,27,32,34,38,45,14
2727,2015-12-09,Wednesday,2,7,9,12,22,47,29
2728,2015-12-12,Saturday,14,20,21,26,29,44,9
2729,2015-12-16,Wednesday,11,14,16,20,31,42,43
2730,2015-12-19,Saturday,4,8,22,34,44,47,20
2731,2015-12-23,Wednesday,5,11,15,22,36,37,40
2732,2015-12-26,Saturday,14,17,20,25,27,45,42
2733,2015-12-30,Wednesday,1,9,16,20,27,34,5
2734,2016-01-02,Saturday,4,5,10,21,26,43,46
2735,2016-01-06,Wednesday,14,21,27,29,33,43,28
2736,2016-01-09,Saturday,8,15,16,20,27,47,19
2737,2016-01-13,Wednesday,7,12,19,20,21,25,24
2738,2016-01-16,Saturday,14,21,30,33,39,40,20
2739,2016-01-20,Wednesday,6,14,24,34,40,45,12
2740,2016-01-23,Saturday,2,8,16,25,26,28,19
2741,2016-01-27,Wednesday,2,19,20,29,38,43,35
2742,2016-01-30,Saturday,2,13,17,21,24,32,1
2743,2016-02-03,Wednesday,20,22,24,31,35,39,42
2744,2016-02-06,Saturday,1,19,21,22,24,29,43
2745,2016-02-10,Wednesday,11,14,33,35,38,41,18
2746,2016-02-13,Saturday,3,6,20,30,41,47,25
2747,2016-02-17,Wednesday,8,9,20,34,36,46,28
2748,2016-02-20,Saturday,11,15,17,21,24,32,44
2749,2016-02-24,Wednesday,2,15,32,41,42,47,17
2750,2016-02-27,Saturday,5,14,17,23,38,47,6
2751,2016-03-02,Wednesday,11,22,23,39,44,45,31
2752,2016-03-05,Saturday,5,7,24,26,33,41,37
2753,2016-03-09,Wednesday,11,15,16,29,32,42,37
2754,2016-03-12,Saturday,4,14,30,31,42,44,8
2755,2016-03-16,Wednesday,2,9,28,31,43,44,26
2756,2016-03-19,Saturday,6,13,16,18,44,47,34
2757,2016-03-23,Wednesday,11,27,42,43,44,46,24
2758,2016-03-26,Saturday,2,13,22,31,40,42,28
2759,2016-03-30,Wednesday,21,31,32,33,40,43,25
2760,2016-04-02,Saturday,1,2,15,27,29,34,11
2761,2016-04-06,Wednesday,2,14,17,21,26,32,18
2762,2016-04-09,Saturday,3,17,20,28,32,36,21
2763,2016-04-13,Wednesday,9,11,28,29,38,40,45
2764,2016-04-16,Saturday,11,17,26,37,39,46,40
2765,2016-04-20,Wednesday,4,10,16,19,34,36,26
2766,2016-04-23,Saturday,3,12,13,20,25,42,16
2767,2016-04-27,Wednesday,2,3,15,17,19,24,29
2768,2016-04-30,Saturday,2,12,16,40,41,44,33
2769,2016-05-04,Wednesday,7,8,11,12,16,22,1
2770,2016-05-07,Saturday,9,15,22,35,39,45,2
2771,2016-05-11,Wednesday,4,10,13,26,27,33,5
2772,2016-05-14,Saturday,1,23,27,37,38,39,41
2773,2016-05-18,Wednesday,2,12,20,30,31,35,46
2774,2016-05-21,Saturday,1,6,11,17,32,34,2
2775,2016-05-25,Wednesday,7,15,18,30,36,46,39
2776,2016-05-28,Saturday,7,8,11,19,22,36,31
2777,2016-06-01,Wednesday,6,22,23,36,44,45,27
2778,2016-06-04,Saturday,6,10,26,27,28,44,8
2779,2016-06-08,Wednesday,5,19,27,30,34,41,16
2780,2016-06-11,Saturday,3,18,24,30,36,41,34
2781,2016-06-15,Wednesday,5,8,15,30,33,35,43
2782,2016-06-18,Saturday,1,9,21,32,37,47,14
