draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball
2066,2015-10-10 00:00:00,Saturday,2,8,16,18,41,48,15
2067,2015-10-14 00:00:00,Wednesday,7,9,35,44,48,58,6
2068,2015-10-17 00:00:00,Saturday,2,3,6,14,28,38,15
2069,2015-10-21 00:00:00,Wednesday,2,13,33,36,39,46,42
2070,2015-10-24 00:00:00,Saturday,15,27,29,35,38,45,18
2071,2015-10-28 00:00:00,Wednesday,1,11,49,52,56,59,45
2072,2015-10-31 00:00:00,Saturday,10,14,18,22,28,49,58
2073,2015-11-04 00:00:00,Wednesday,6,7,23,25,55,59,39
2074,2015-11-07 00:00:00,Saturday,3,17,30,35,47,52,8
2075,2015-11-11 00:00:00,Wednesday,6,19,25,36,41,54,40
2076,2015-11-14 00:00:00,Saturday,13,24,37,46,56,57,5
2077,2015-11-18 00:00:00,Wednesday,3,6,15,19,43,50,57
2078,2015-11-21 00:00:00,Saturday,7,18,25,30,41,56,24
2079,2015-11-25 00:00:00,Wednesday,11,14,18,23,24,43,45
2080,2015-11-28 00:00:00,Saturday,5,11,39,41,42,44,35
2081,2015-12-02 00:00:00,Wednesday,11,16,18,25,30,47,41
2082,2015-12-05 00:00:00,Saturday,15,21,36,44,45,54,50
2083,2015-12-09 00:00:00,Wednesday,3,4,15,50,52,53,21
2084,2015-12-12 00:00:00,Saturday,5,14,18,26,37,46,21
2085,2015-12-16 00:00:00,Wednesday,14,26,30,32,42,58,10
2086,2015-12-19 00:00:00,Saturday,9,16,17,35,36,48,59
2087,2015-12-23 00:00:00,Wednesday,24,26,28,38,48,58,15
2088,2015-12-26 00:00:00,Saturday,4,6,9,32,33,49,8
2089,2015-12-30 00:00:00,Wednesday,10,11,28,41,44,51,39
2090,2016-01-02 00:00:00,Saturday,5,25,30,34,39,58,17
2091,2016-01-06 00:00:00,Wednesday,1,8,36,44,47,56,58
2092,2016-01-09 00:00:00,Saturday,18,35,42,49,50,57,22
2093,2016-01-13 00:00:00,Wednesday,1,8,11,19,28,30,47
2094,2016-01-16 00:00:00,Saturday,12,17,33,47,49,57,56
2095,2016-01-20 00:00:00,Wednesday,7,20,41,54,56,59,57
2096,2016-01-23 00:00:00,Saturday,10,13,24,33,39,49,11
2097,2016-01-27 00:00:00,Wednesday,1,21,34,35,39,50,32
2098,2016-01-30 00:00:00,Saturday,2,8,20,24,52,54,16
2099,2016-02-03 00:00:00,Wednesday,4,6,16,37,55,57,47
2100,2016-02-06 00:00:00,Saturday,5,32,35,49,50,53,9
2101,2016-02-10 00:00:00,Wednesday,9,11,17,31,36,43,34
2102,2016-02-13 00:00:00,Saturday,14,28,35,39,49,56,47
2103,2016-02-17 00:00:00,Wednesday,13,20,26,43,45,46,42
2104,2016-02-20 00:00:00,Saturday,8,16,24,29,34,58,15
2105,2016-02-24 00:00:00,Wednesday,2,5,15,22,36,38,56
2106,2016-02-27 00:00:00,Saturday,1,4,5,15,41,46,59
2107,2016-03-02 00:00:00,Wednesday,3,5,22,56,58,59,33
2108,2016-03-05 00:00:00,Saturday,14,16,18,32,35,43,9
2109,2016-03-09 00:00:00,Wednesday,16,31,37,47,57,58,51
2110,2016-03-12 00:00:00,Saturday,7,13,27,31,52,55,43
2111,2016-03-16 00:00:00,Wednesday,23,27,28,30,47,59,4
2112,2016-03-19 00:00:00,Saturday,4,7,26,42,44,58,47
2113,2016-03-23 00:00:00,Wednesday,7,13,16,22,52,56,54
2114,2016-03-26 00:00:00,Saturday,9,12,18,28,29,35,30
2115,2016-03-30 00:00:00,Wednesday,5,16,29,36,52,56,7
2116,2016-04-02 00:00:00,Saturday,1,4,6,35,42,54,49
2117,2016-04-06 00:00:00,Wednesday,11,16,27,31,32,55,14
2118,2016-04-09 00:00:00,Saturday,1,4,11,25,26,56,55
2119,2016-04-13 00:00:00,Wednesday,17,19,28,30,51,58,45
2120,2016-04-16 00:00:00,Saturday,32,36,43,46,47,51,10
2121,2016-04-20 00:00:00,Wednesday,4,13,14,19,38,48,35
2122,2016-04-23 00:00:00,Saturday,4,21,38,48,56,59,31
2123,2016-04-27 00:00:00,Wednesday,4,11,33,34,55,59,6
2124,2016-04-30 00:00:00,Saturday,5,12,39,44,55,57,16
2125,2016-05-04 00:00:00,Wednesday,8,16,26,37,38,57,39
2126,2016-05-07 00:00:00,Saturday,3,6,27,38,40,43,37
2127,2016-05-11 00:00:00,Wednesday,14,17,21,34,43,46,58
2128,2016-05-14 00:00:00,Saturday,9,16,17,26,42,43,20
2129,2016-05-18 00:00:00,Wednesday,1,5,21,30,49,59,40
2130,2016-05-21 00:00:00,Saturday,5,7,14,33,35,37,17
2131,2016-05-25 00:00:00,Wednesday,5,9,16,23,24,57,19
2132,2016-05-28 00:00:00,Saturday,11,20,29,35,46,54,40
2133,2016-06-01 00:00:00,Wednesday,1,34,42,43,52,53,36
2134,2016-06-04 00:00:00,Saturday,7,8,9,17,20,43,57
2135,2016-06-08 00:00:00,Wednesday,10,18,19,36,39,48,14
2136,2016-06-11 00:00:00,Saturday,14,17,22,41,44,46,33
2137,2016-06-15 00:00:00,Wednesday,4,6,17,32,41,55,28
2138,2016-06-18 00:00:00,Saturday,1,3,18,22,50,54,9
2139,2016-06-22 00:00:00,Wednesday,11,17,29,36,41,48,46
2140,2016-06-25 00:00:00,Saturday,1,5,8,28,36,45,10
2141,2016-06-29 00:00:00,Wednesday,3,24,35,36,38,54,10
2142,2016-07-02 00:00:00,Saturday,3,9,20,24,28,51,57
2143,2016-07-06 00:00:00,Wednesday,14,16,23,43,44,58,7
2144,2016-07-09 00:00:00,Saturday,23,27,36,40,50,56,48
2145,2016-07-13 00:00:00,Wednesday,10,11,16,52,55,56,12
2146,2016-07-16 00:00:00,Saturday,2,12,22,27,48,57,51
2147,2016-07-20 00:00:00,Wednesday,27,43,48,52,56,58,16
2148,2016-07-23 00:00:00,Saturday,7,11,18,25,45,51,3
2149,2016-07-27 00:00:00,Wednesday,13,15,30,31,53,55,23
2150,2016-07-30 00:00:00,Saturday,15,20,51,53,55,56,2
2151,2016-08-03 00:00:00,Wednesday,5,13,18,22,26,43,50
2152,2016-08-06 00:00:00,Saturday,18,23,26,33,42,44,35
2153,2016-08-10 00:00:00,Wednesday,2,8,12,17,22,38,56
2154,2016-08-13 00:00:00,Saturday,3,7,23,28,39,47,51
2155,2016-08-17 00:00:00,Wednesday,8,21,25,28,33,39,37
2156,2016-08-20 00:00:00,Saturday,1,3,13,17,28,46,34
2157,2016-08-24 00:00:00,Wednesday,35,44,47,48,52,55,43
2158,2016-08-27 00:00:00,Saturday,5,13,22,24,28,43,40
2159,2016-08-31 00:00:00,Wednesday,8,20,21,43,47,55,33
2160,2016-09-03 00:00:00,Saturday,20,21,26,27,43,45,19
2161,2016-09-07 00:00:00,Wednesday,9,13,25,27,36,43,44
2162,2016-09-10 00:00:00,Saturday,12,20,37,40,48,58,26
2163,2016-09-14 00:00:00,Wednesday,1,14,19,20,36,54,28
2164,2016-09-17 00:00:00,Saturday,21,30,38,39,42,51,29
2165,2016-09-21 00:00:00,Wednesday,14,29,31,33,44,51,54
2166,2016-09-24 00:00:00,Saturday,6,11,19,33,43,48,57
2167,2016-09-28 00:00:00,Wednesday,6,22,40,41,49,53,16
2168,2016-10-01 00:00:00,Saturday,10,13,15,20,44,52,2
2169,2016-10-05 00:00:00,Wednesday,3,16,31,40,50,55,5
2170,2016-10-08 00:00:00,Saturday,13,27,30,37,41,57,46
2171,2016-10-12 00:00:00,Wednesday,10,16,25,26,32,45,42
2172,2016-10-15 00:00:00,Saturday,1,7,45,49,50,56,55
2173,2016-10-19 00:00:00,Wednesday,12,15,28,34,45,52,30
2174,2016-10-22 00:00:00,Saturday,4,8,16,30,36,55,9
2175,2016-10-26 00:00:00,Wednesday,30,34,36,39,43,52,21
2176,2016-10-29 00:00:00,Saturday,29,40,47,49,53,58,33
2177,2016-11-02 00:00:00,Wednesday,11,28,29,36,48,54,31
2178,2016-11-05 00:00:00,Saturday,16,17,29,41,49,54,18
2179,2016-11-09 00:00:00,Wednesday,16,32,34,41,50,59,18
2180,2016-11-12 00:00:00,Saturday,5,16,18,19,29,46,22
2181,2016-11-16 00:00:00,Wednesday,6,9,10,21,35,58,15
2182,2016-11-19 00:00:00,Saturday,5,10,14,25,45,46,27
2183,2016-11-23 00:00:00,Wednesday,4,22,27,30,35,59,14
2184,2016-11-26 00:00:00,Saturday,25,27,38,45,50,54,2
2185,2016-11-30 00:00:00,Wednesday,25,31,37,49,55,57,1
2186,2016-12-03 00:00:00,Saturday,20,23,25,49,54,55,27
2187,2016-12-07 00:00:00,Wednesday,35,39,48,52,58,59,15
2188,2016-12-10 00:00:00,Saturday,2,15,18,28,32,59,25
2189,2016-12-14 00:00:00,Wednesday,22,26,43,44,47,52,11
2190,2016-12-17 00:00:00,Saturday,2,9,30,35,40,54,26
2191,2016-12-21 00:00:00,Wednesday,2,6,37,38,42,43,28
2192,2016-12-24 00:00:00,Saturday,4,9,12,17,30,56,25
2193,2016-12-28 00:00:00,Wednesday,14,21,22,30,49,59,25
2194,2016-12-31 00:00:00,Saturday,17,18,27,49,54,57,6
2195,2017-01-04 00:00:00,Wednesday,2,4,23,31,35,48,15
2196,2017-01-07 00:00:00,Saturday,3,5,42,49,50,59,2
2197,2017-01-11 00:00:00,Wednesday,2,10,13,16,40,54,59
2198,2017-01-14 00:00:00,Saturday,8,9,14,31,37,43,30
2199,2017-01-18 00:00:00,Wednesday,11,17,24,39,45,50,54
2200,2017-01-21 00:00:00,Saturday,8,11,46,48,50,53,20
2201,2017-01-25 00:00:00,Wednesday,2,7,20,37,38,44,25
2202,2017-01-28 00:00:00,Saturday,5,13,26,38,45,46,41
2203,2017-02-01 00:00:00,Wednesday,7,16,20,44,45,50,39
2204,2017-02-04 00:00:00,Saturday,3,8,37,51,52,57,23
2205,2017-02-08 00:00:00,Wednesday,5,24,28,33,35,43,42
2206,2017-02-11 00:00:00,Saturday,1,22,27,32,53,55,7
2207,2017-02-15 00:00:00,Wednesday,24,28,30,41,46,54,10
2208,2017-02-18 00:00:00,Saturday,12,18,28,34,42,47,40
2209,2017-02-22 00:00:00,Wednesday,28,30,31,35,50,52,53
2210,2017-02-25 00:00:00,Saturday,16,18,21,38,47,55,6
2211,2017-03-01 00:00:00,Wednesday,16,18,29,30,49,57,37
2212,2017-03-04 00:00:00,Saturday,2,22,25,32,40,43,21
2213,2017-03-08 00:00:00,Wednesday,12,14,17,23,32,52,22
2214,2017-03-11 00:00:00,Saturday,18,36,39,45,57,59,1
2215,2017-03-15 00:00:00,Wednesday,6,13,16,27,34,47,32
